Iteration,Timestep,Date,Variable,Jurisdiction,AgeMin,AgeMax,Sex,Value
1,254,08/10/2020,Cases,Canada - British Columbia,,,,131
1,255,09/10/2020,Cases,Canada - British Columbia,,,,182
1,256,10/10/2020,Cases,Canada - British Columbia,,,,159
1,257,11/10/2020,Cases,Canada - British Columbia,,,,114
1,258,12/10/2020,Cases,Canada - British Columbia,,,,142
1,259,13/10/2020,Cases,Canada - British Columbia,,,,154
1,260,14/10/2020,Cases,Canada - British Columbia,,,,92
1,261,15/10/2020,Cases,Canada - British Columbia,,,,153
1,262,16/10/2020,Cases,Canada - British Columbia,,,,211
1,263,17/10/2020,Cases,Canada - British Columbia,,,,135
1,264,18/10/2020,Cases,Canada - British Columbia,,,,204
1,265,19/10/2020,Cases,Canada - British Columbia,,,,139
1,266,20/10/2020,Cases,Canada - British Columbia,,,,255
1,267,21/10/2020,Cases,Canada - British Columbia,,,,293
1,268,22/10/2020,Cases,Canada - British Columbia,,,,200
1,269,23/10/2020,Cases,Canada - British Columbia,,,,277
1,270,24/10/2020,Cases,Canada - British Columbia,,,,293
1,271,25/10/2020,Cases,Canada - British Columbia,,,,229
1,272,26/10/2020,Cases,Canada - British Columbia,,,,267
1,273,27/10/2020,Cases,Canada - British Columbia,,,,261
1,274,28/10/2020,Cases,Canada - British Columbia,,,,274
1,275,29/10/2020,Cases,Canada - British Columbia,,,,326
1,276,30/10/2020,Cases,Canada - British Columbia,,,,391
1,277,31/10/2020,Cases,Canada - British Columbia,,,,381
1,278,01/11/2020,Cases,Canada - British Columbia,,,,369
1,279,02/11/2020,Cases,Canada - British Columbia,,,,338
1,280,03/11/2020,Cases,Canada - British Columbia,,,,370
1,281,04/11/2020,Cases,Canada - British Columbia,,,,585
1,282,05/11/2020,Cases,Canada - British Columbia,,,,480
1,283,06/11/2020,Cases,Canada - British Columbia,,,,451
1,284,07/11/2020,Cases,Canada - British Columbia,,,,555
1,285,08/11/2020,Cases,Canada - British Columbia,,,,498
1,286,09/11/2020,Cases,Canada - British Columbia,,,,512
1,287,10/11/2020,Cases,Canada - British Columbia,,,,699
1,288,11/11/2020,Cases,Canada - British Columbia,,,,662
1,289,12/11/2020,Cases,Canada - British Columbia,,,,584
1,290,13/11/2020,Cases,Canada - British Columbia,,,,543
1,291,14/11/2020,Cases,Canada - British Columbia,,,,948
1,292,15/11/2020,Cases,Canada - British Columbia,,,,582
1,293,16/11/2020,Cases,Canada - British Columbia,,,,554
1,294,17/11/2020,Cases,Canada - British Columbia,,,,729
1,295,18/11/2020,Cases,Canada - British Columbia,,,,868
1,296,19/11/2020,Cases,Canada - British Columbia,,,,639
1,297,20/11/2020,Cases,Canada - British Columbia,,,,927
1,298,21/11/2020,Cases,Canada - British Columbia,,,,722
1,299,22/11/2020,Cases,Canada - British Columbia,,,,655
1,300,23/11/2020,Cases,Canada - British Columbia,,,,682
1,301,24/11/2020,Cases,Canada - British Columbia,,,,838
1,302,25/11/2020,Cases,Canada - British Columbia,,,,880
